paradigm,alarm,faithfulness,answer_relevancy,llm_context_precision_without_reference,retrieval_ms,gen_ms,total_ms
No RAG,A1,0.000,0.417,1.000,0.0,12272.1,12272.1
Naive RAG (keyword),A1,1.000,0.270,1.000,2.8,10428.1,10430.9
Vector RAG (FAISS),A1,1.000,0.000,1.000,63.8,8985.4,9049.2
Hybrid (BM25+FAISS+RRF),A1,1.000,0.328,1.000,53.1,8372.3,8425.4
Hybrid + Rerank,A1,1.000,0.000,1.000,326.4,11916.7,12243.1
No RAG,A2,0.963,0.000,1.000,0.0,14363.0,14363.0
Naive RAG (keyword),A2,0.769,0.430,1.000,2.8,15888.9,15891.7
Vector RAG (FAISS),A2,0.684,0.000,1.000,67.2,14680.9,14748.1
Hybrid (BM25+FAISS+RRF),A2,1.000,0.417,1.000,55.9,14554.3,14610.2
Hybrid + Rerank,A2,0.833,0.502,1.000,335.7,11994.4,12330.1
No RAG,A3,0.000,0.475,1.000,0.0,12616.8,12616.8
Naive RAG (keyword),A3,0.524,0.463,1.000,2.7,19249.8,19252.5
Vector RAG (FAISS),A3,0.667,0.439,1.000,60.4,12943.0,13003.4
Hybrid (BM25+FAISS+RRF),A3,0.462,0.438,1.000,52.4,9843.3,9895.7
Hybrid + Rerank,A3,0.625,0.000,1.000,317.1,9027.4,9344.5
